layer_name,parameter_shape,parameter_norm,gradient_norm,update_norm,update_to_weight_ratio,learning_rate,warmup_fraction,schedule_multiplier,optimizer_step,execution_mode
pos_emb.weight,"[32, 64]",44.93204116821289,0.04427414759993553,0.001370088430121541,3.0492459156091226e-05,0.00015,0.5,0.5,4,smoke
blocks.0.ln1.weight,[64],7.9997758865356445,0.009834615513682365,0.0006308884476311505,7.886326524384183e-05,0.00015,0.5,0.5,4,smoke
blocks.0.ln1.bias,[64],0.0014853778993710876,0.009874084033071995,0.0006296702777035534,0.4239125127485452,0.00015,0.5,0.5,4,smoke
blocks.0.attn.qkv.weight,"[192, 64]",7.996997356414795,0.1599283218383789,0.008149595931172371,0.0010190819838942636,0.00015,0.5,0.5,4,smoke
blocks.0.attn.proj.weight,"[64, 64]",4.644245147705078,0.15433236956596375,0.004863027948886156,0.001047108366208702,0.00015,0.5,0.5,4,smoke
blocks.0.ln2.weight,[64],7.999913215637207,0.009750396944582462,0.0005902469856664538,7.378167359524782e-05,0.00015,0.5,0.5,4,smoke
blocks.0.ln2.bias,[64],0.0016367787029594183,0.008920995518565178,0.000649991212412715,0.3971161228072446,0.00015,0.5,0.5,4,smoke
blocks.0.mlp.fc1.weight,"[256, 64]",9.292557716369629,0.12746639549732208,0.01021471619606018,0.0010992362391321058,0.00015,0.5,0.5,4,smoke
blocks.0.mlp.fc1.bias,[256],1.1808487176895142,0.015426273457705975,0.001311329542659223,0.0011104974947383707,0.00015,0.5,0.5,4,smoke
blocks.0.mlp.fc2.weight,"[64, 256]",4.58769416809082,0.24288082122802734,0.010176233947277069,0.002218158746948891,0.00015,0.5,0.5,4,smoke
blocks.0.mlp.fc2.bias,[64],0.27691951394081116,0.041378915309906006,0.0006907841889187694,0.0024945305554249157,0.00015,0.5,0.5,4,smoke
blocks.1.ln1.weight,[64],7.999900817871094,0.009610285051167011,0.0005620644078589976,7.025892203605747e-05,0.00015,0.5,0.5,4,smoke
blocks.1.ln1.bias,[64],0.0016094997990876436,0.010846246033906937,0.0006933131953701377,0.43076314502378144,0.00015,0.5,0.5,4,smoke
blocks.1.attn.qkv.weight,"[192, 64]",8.015555381774902,0.16263334453105927,0.008829398080706596,0.0011015329144605677,0.00015,0.5,0.5,4,smoke
blocks.1.attn.proj.weight,"[64, 64]",4.575332164764404,0.13250409066677094,0.004833092447370291,0.001056336955072017,0.00015,0.5,0.5,4,smoke
blocks.1.ln2.weight,[64],8.000266075134277,0.008987024426460266,0.0005786385736428201,7.232741613948236e-05,0.00015,0.5,0.5,4,smoke
blocks.1.ln2.bias,[64],0.0014706231886520982,0.009248248301446438,0.0006946253124624491,0.47233398590641623,0.00015,0.5,0.5,4,smoke
blocks.1.mlp.fc1.weight,"[256, 64]",9.242117881774902,0.11638755351305008,0.009923174977302551,0.001073690587399958,0.00015,0.5,0.5,4,smoke
blocks.1.mlp.fc1.bias,[256],1.1365039348602295,0.014608844183385372,0.0013195270439609885,0.0011610404535231703,0.00015,0.5,0.5,4,smoke
blocks.1.mlp.fc2.weight,"[64, 256]",4.634627342224121,0.2159304916858673,0.010079160332679749,0.0021747509753055655,0.00015,0.5,0.5,4,smoke
blocks.1.mlp.fc2.bias,[64],0.28928735852241516,0.03872860223054886,0.0006614337326027453,0.002286424598645207,0.00015,0.5,0.5,4,smoke
ln_f.weight,[64],7.9996490478515625,0.06062837317585945,0.0006652298616245389,8.315738073574582e-05,0.00015,0.5,0.5,4,smoke
ln_f.bias,[64],0.0016699738334864378,0.058109477162361145,0.0006722144898958504,0.4025299537133793,0.00015,0.5,0.5,4,smoke
lm_head.weight,"[33, 64]",3.3508055210113525,0.8693007230758667,0.00422336021438241,0.0012604014729890082,0.00015,0.5,0.5,4,smoke
token_emb.weight,"[33, 64]",46.133872985839844,0.04351373389363289,0.002634434262290597,5.7104120937325164e-05,0.00017999999999999998,0.6,0.6,5,smoke
pos_emb.weight,"[32, 64]",44.932064056396484,0.04575643315911293,0.001605663332156837,3.573535660728803e-05,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.ln1.weight,[64],7.99971342086792,0.011999794282019138,0.0007681553834117949,9.602286269505574e-05,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.ln1.bias,[64],0.0020675468258559704,0.016407370567321777,0.0008207891369238496,0.3969869638062686,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.attn.qkv.weight,"[192, 64]",7.996984958648682,0.18505670130252838,0.009602812118828297,0.0012008040740958158,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.attn.proj.weight,"[64, 64]",4.644129276275635,0.19228021800518036,0.0058486550115048885,0.001259365246652915,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.ln2.weight,[64],7.999795436859131,0.009133060462772846,0.000727602222468704,9.095260350236834e-05,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.ln2.bias,[64],0.002196309855207801,0.009403280913829803,0.0008127891342155635,0.3700703397056253,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.mlp.fc1.weight,"[256, 64]",9.292497634887695,0.12841998040676117,0.012228593230247498,0.0013159640939091062,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.mlp.fc1.bias,[256],1.1807318925857544,0.019045470282435417,0.0016543952515348792,0.0014011608070582573,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.mlp.fc2.weight,"[64, 256]",4.587706565856934,0.257331520318985,0.012330527417361736,0.002687732364822363,0.00017999999999999998,0.6,0.6,5,smoke
blocks.0.mlp.fc2.bias,[64],0.2768236994743347,0.05485638603568077,0.000892562500666827,0.0032242994453210807,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.ln1.weight,[64],7.999894142150879,0.014473693445324898,0.0007198437815532088,8.998166335231896e-05,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.ln1.bias,[64],0.0022505391389131546,0.022545738145709038,0.00091833173064515,0.4080496600866212,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.attn.qkv.weight,"[192, 64]",8.015701293945312,0.20275679230690002,0.01044133584946394,0.001302610397589396,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.attn.proj.weight,"[64, 64]",4.5753278732299805,0.16756156086921692,0.005878773983567953,0.0012848858369176933,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.ln2.weight,[64],8.00036334991455,0.007093492895364761,0.0006588756223209202,8.235571229748677e-05,0.00017999999999999998,0.6,0.6,5,smoke
